order_id,product_name,quantity,price,is_paid
invalid,Laptop,8,invalid,False
43,Laptop,5,92.51018043214088,False
20,Camera,5,158.4046318512705,False
71,Camera,4,125.6041284919691,False
66,Phone,5,113.16564184711974,False
14,Camera,4,212.55581301351094,False
11,Camera,10,216.81246017632355,False
invalid,Laptop,invalid,invalid,True
6,Phone,5,70.92898781031151,False
10,Camera,2,179.469027184788,False
68,Laptop,5,393.39780208673767,False
1364,Laptop,invalid,invalid,True
79,Camera,6,389.57644034271647,False
55,Camera,5,458.33753200890953,True
69,Laptop,10,262.3244764738198,False
31,Camera,3,396.3650633891848,True
5,Phone,8,81.10445371432789,True
38,Phone,2,308.62229105871785,True
59,Camera,10,115.14054324845955,True
8,Camera,7,427.15909425521914,False
50,Laptop,4,84.79905193284469,False
15,Camera,8,59.09756141454495,False
30,Camera,3,449.6596566861572,False
16,Laptop,6,409.79640947981903,False
67,Phone,2,198.82888519531747,False
invalid,Laptop,8,nan,True
53,Camera,7,134.78642006773194,True
36,Camera,3,102.2369341847814,True
23,Camera,9,82.73007180214341,True
19,Camera,3,168.40447550245239,True
3,Laptop,6,462.54643210334336,False
49,Phone,5,312.65918062878035,False
1031,Laptop,8,412.7386258680964,True
41,Laptop,4,233.1860311951243,True
invalid,unknown,6,nan,True
12,Laptop,2,418.13139249621054,False
44,Headphones,10,72.27676787826273,False
32,Phone,2,119.26403464582013,False
22,Laptop,1,182.47587184786357,True
35,Laptop,3,139.9504147375808,False
48,Laptop,1,494.88115028209614,False
70,Camera,6,65.39735397829392,True
1,Headphones,6,55.32681639866549,True
40,Phone,1,66.80862245983947,False
76,Headphones,9,264.37193576879,False
52,Phone,5,278.4762764056713,False
21,Laptop,7,463.24631032497,False
56,Laptop,7,230.64037182764804,True
46,Camera,2,444.38966234975385,True
65,Laptop,9,116.7243966314472,False
invalid,unknown,2,invalid,True
72,Camera,2,261.3094706904999,False
37,Headphones,10,317.21433934837216,False
45,Phone,2,91.66172898255617,False
47,Laptop,7,252.74940385490012,True
2,Headphones,1,193.64107734571346,False
74,Headphones,9,156.78867910193364,False
invalid,Laptop,invalid,218.85916436456426,False
9,Phone,2,431.9488046128481,False
1274,Laptop,3,invalid,True
invalid,Laptop,8,invalid,True
13,Laptop,3,486.9930444489523,True
73,Laptop,5,342.10711855210116,True
invalid,Laptop,invalid,277.0258183910197,True
33,Phone,4,225.28557220396166,True
17,Phone,10,142.9899249143159,True
invalid,Laptop,2,nan,False
39,Laptop,3,94.30914613437301,True
1121,Laptop,2,86.02752191651356,False
77,Phone,8,92.6770312892612,False
27,Phone,3,347.755579649657,True
51,Headphones,8,476.28735435682023,False
invalid,Laptop,2,nan,False
78,Laptop,9,280.2285348206545,True
54,Headphones,1,496.5044322000117,False
57,Laptop,3,477.10401878022145,False
80,Camera,4,486.57305083897637,False
invalid,unknown,4,nan,False
58,Camera,10,148.7274681952041,False
26,Phone,5,279.34132089920547,True
1409,unknown,invalid,nan,False
invalid,Laptop,2,454.53068684455286,False
75,Laptop,1,79.04499688894812,True
24,Laptop,7,83.03860940441305,True
25,Phone,5,224.8162442273053,True
invalid,Laptop,2,nan,False
invalid,Laptop,2,499.9910924718333,False
4,Phone,10,231.61593663440453,False
63,Phone,8,401.205535728543,True
64,Camera,2,389.7245857643784,False
invalid,Laptop,7,nan,True
28,Laptop,4,337.3248899166792,False
34,Headphones,3,213.38370810795942,False
18,Headphones,9,304.13884785361216,True
29,Laptop,4,248.9197874987956,False
7,Laptop,1,219.24030569633715,True
60,Headphones,1,427.17341967432964,True
61,Camera,7,434.8847693692832,True
62,Camera,3,457.08904512356645,False
42,Laptop,6,319.57409585364087,True
